,Start Time,Duration,Error Type,Light
434,2019-07-03 12:56:12.800,0.1,L1P0,Not Green
435,2019-07-03 12:56:13.900,0.1,L0P1,Not Green
436,2019-07-03 12:56:14.700,0.1,L1P0,Not Green
437,2019-07-03 12:56:15.800,0.1,L0P1,Not Green
438,2019-07-03 12:56:32.600,0.1,L1P0,During Green
439,2019-07-03 12:59:05.300,0.1,L1P0,Not Green
440,2019-07-03 12:59:06.500,0.1,L1P0,Not Green
441,2019-07-03 12:59:10.600,0.1,L0P1,Not Green
442,2019-07-03 13:01:55.100,0.1,L1P0,Not Green
443,2019-07-03 13:01:56.600,0.1,L0P1,Not Green
444,2019-07-03 13:02:43.500,0.1,L0P1,Not Green
445,2019-07-03 13:03:22.600,0.8,L0P1,Not Green
446,2019-07-03 13:03:23.900,0.1,L1P0,Not Green
447,2019-07-03 13:03:26.500,0.1,L1P0,Not Green
448,2019-07-03 13:05:43.300,0.1,L0P1,Not Green
449,2019-07-03 13:07:19.000,0.1,L1P0,Not Green
450,2019-07-03 13:10:29.000,0.6,L0P1,During Green
