,Start Time,Duration,Error Type
339,2019-06-12 06:52:47.200,0.2,L0P1
340,2019-06-12 06:52:47.600,0.2,L1P0
341,2019-06-12 06:52:52.500,0.2,L0P1
342,2019-06-12 06:52:59.900,0.3,L0P1
343,2019-06-12 06:53:36.200,0.1,L1P0
344,2019-06-12 06:53:36.800,0.4,L0P1
345,2019-06-12 06:53:39.500,0.1,L1P0
346,2019-06-12 06:53:40.200,0.4,L0P1
347,2019-06-12 06:53:40.800,0.1,L1P0
348,2019-06-12 06:53:41.400,0.2,L0P1
349,2019-06-12 06:53:45.900,0.1,L1P0
350,2019-06-12 06:53:46.600,0.2,L0P1
351,2019-06-12 06:54:07.800,0.1,L0P1
352,2019-06-12 06:54:24.900,0.2,L0P1
353,2019-06-12 06:55:21.100,0.1,L0P1
354,2019-06-12 06:55:22.200,0.3,L0P1
355,2019-06-12 06:55:24.700,0.2,L0P1
356,2019-06-12 06:55:57.600,0.1,L1P0
357,2019-06-12 06:55:58.200,0.1,L0P1
358,2019-06-12 06:56:23.200,0.1,L0P1
359,2019-06-12 06:56:32.500,0.4,L0P1
360,2019-06-12 06:56:54.100,0.2,L0P1
361,2019-06-12 06:57:00.300,1.3,L0P1
362,2019-06-12 06:57:06.400,0.2,L0P1
363,2019-06-12 06:57:08.900,0.2,L0P1
364,2019-06-12 06:57:38.000,0.1,L1P0
365,2019-06-12 06:57:38.700,0.2,L0P1
366,2019-06-12 06:57:40.400,0.2,L1P0
367,2019-06-12 06:57:41.200,0.1,L0P1
368,2019-06-12 06:57:42.700,0.3,L0P1
369,2019-06-12 06:57:44.900,0.1,L1P0
370,2019-06-12 06:57:45.600,0.2,L0P1
371,2019-06-12 06:57:55.900,0.1,L1P0
372,2019-06-12 06:57:56.600,0.2,L0P1
373,2019-06-12 06:57:59.200,0.3,L0P1
374,2019-06-12 06:58:13.700,0.2,L0P1
375,2019-06-12 06:58:20.900,0.2,L0P1
376,2019-06-12 06:58:22.500,0.2,L0P1
377,2019-06-12 06:58:23.900,0.1,L1P0
378,2019-06-12 06:58:24.700,0.2,L0P1
379,2019-06-12 06:58:52.600,0.1,L0P1
380,2019-06-12 06:58:54.500,0.2,L0P1
381,2019-06-12 06:59:43.200,0.3,L0P1
382,2019-06-12 07:01:06.400,0.1,L0P1
383,2019-06-12 07:01:42.300,0.1,L0P1
384,2019-06-12 07:01:43.400,0.1,L1P0
385,2019-06-12 07:01:44.200,0.1,L0P1
386,2019-06-12 07:01:45.900,0.2,L0P1
387,2019-06-12 07:01:53.800,0.2,L0P1
388,2019-06-12 07:03:27.800,1.5,L0P1
389,2019-06-12 07:04:09.600,0.2,L0P1
390,2019-06-12 07:04:11.900,0.2,L0P1
391,2019-06-12 07:05:14.400,0.1,L1P0
392,2019-06-12 07:05:15.200,0.1,L0P1
393,2019-06-12 07:05:16.400,0.1,L1P0
394,2019-06-12 07:05:17.200,0.1,L0P1
395,2019-06-12 07:05:43.100,0.2,L0P1
396,2019-06-12 07:05:55.300,0.2,L0P1
397,2019-06-12 07:06:26.500,0.5,L0P1
398,2019-06-12 07:06:54.500,0.1,L1P0
399,2019-06-12 07:07:02.400,0.2,L0P1
400,2019-06-12 07:07:05.600,0.1,L1P0
401,2019-06-12 07:07:06.500,0.3,L0P1
402,2019-06-12 07:07:11.900,0.2,L0P1
403,2019-06-12 07:08:02.400,0.2,L0P1
404,2019-06-12 07:09:32.200,0.8,L0P1
405,2019-06-12 07:09:35.000,0.2,L0P1
406,2019-06-12 07:09:36.800,0.2,L0P1
407,2019-06-12 07:09:40.300,0.2,L0P1
408,2019-06-12 07:09:52.800,0.2,L1P0
409,2019-06-12 07:09:53.600,0.2,L0P1
410,2019-06-12 07:10:08.600,0.1,L1P0
411,2019-06-12 07:10:09.200,0.1,L0P1
412,2019-06-12 07:11:01.700,0.2,L0P1
413,2019-06-12 07:11:15.500,0.1,L0P1
414,2019-06-12 07:11:21.200,0.2,L0P1
415,2019-06-12 07:12:43.500,0.3,L0P1
416,2019-06-12 07:12:45.000,0.2,L1P0
417,2019-06-12 07:12:46.200,0.1,L0P1
418,2019-06-12 07:12:50.500,0.1,L1P0
419,2019-06-12 07:12:51.800,0.2,L0P1
420,2019-06-12 07:12:58.000,0.2,L0P1
421,2019-06-12 07:12:58.900,0.1,L0P1
422,2019-06-12 07:15:00.000,0.2,L0P1
423,2019-06-12 07:15:00.700,0.2,L0P1
424,2019-06-12 07:15:23.600,0.1,L1P0
425,2019-06-12 07:15:42.200,0.3,L0P1
426,2019-06-12 07:15:53.000,0.1,L0P1
427,2019-06-12 07:15:53.700,0.2,L1P0
428,2019-06-12 07:15:54.500,0.2,L0P1
429,2019-06-12 07:17:14.400,0.1,L1P0
430,2019-06-12 07:17:15.600,0.2,L0P1
431,2019-06-12 07:18:29.000,0.2,L1P0
432,2019-06-12 07:18:34.500,0.3,L0P1
433,2019-06-12 07:18:41.600,0.1,L0P1
434,2019-06-12 07:18:43.700,0.2,L0P1
435,2019-06-12 07:18:44.200,0.1,L1P0
436,2019-06-12 07:18:46.200,0.1,L0P1
437,2019-06-12 07:19:37.000,0.1,L0P1
438,2019-06-12 07:19:40.200,0.1,L1P0
439,2019-06-12 07:19:40.900,0.2,L0P1
440,2019-06-12 07:19:42.300,0.1,L0P1
441,2019-06-12 07:20:26.000,0.1,L0P1
442,2019-06-12 07:20:26.200,0.3,L0P1
443,2019-06-12 07:20:28.700,0.4,L0P1
444,2019-06-12 07:20:33.000,0.2,L0P1
