,Timestamp,Event Type,Parameter
457,2019-06-12 06:19:24.000,81,VC 13/34
458,2019-06-12 06:19:24.800,82,VC 13/34
459,2019-06-12 06:19:26.200,81,VC 13/34
460,2019-06-12 06:20:24.000,82,VC 13/34
461,2019-06-12 06:20:25.000,81,VC 13/34
462,2019-06-12 06:20:40.300,82,VC 13/34
463,2019-06-12 06:20:41.400,81,VC 13/34
464,2019-06-12 06:20:41.800,82,VC 13/34
467,2019-06-12 06:20:42.900,81,VC 13/34
468,2019-06-12 06:21:14.300,82,VC 13/34
471,2019-06-12 06:21:15.200,81,VC 13/34
472,2019-06-12 06:22:01.300,82,VC 13/34
473,2019-06-12 06:22:02.500,81,VC 13/34
474,2019-06-12 06:22:08.400,82,VC 13/34
475,2019-06-12 06:22:09.500,81,VC 13/34
476,2019-06-12 06:22:10.900,82,VC 13/34
477,2019-06-12 06:22:12.000,81,VC 13/34
478,2019-06-12 06:24:57.500,82,VC 13/34
483,2019-06-12 06:25:12.200,81,VC 13/34
484,2019-06-12 06:25:13.600,82,VC 13/34
487,2019-06-12 06:25:15.200,81,VC 13/34
488,2019-06-12 06:25:21.300,82,VC 13/34
489,2019-06-12 06:25:22.000,81,VC 13/34
490,2019-06-12 06:25:22.100,82,VC 13/34
491,2019-06-12 06:25:22.200,81,VC 13/34
492,2019-06-12 06:25:57.200,82,VC 13/34
495,2019-06-12 06:25:58.300,81,VC 13/34
496,2019-06-12 06:26:12.200,82,VC 13/34
497,2019-06-12 06:26:38.400,81,VC 13/34
498,2019-06-12 06:26:45.300,82,VC 13/34
501,2019-06-12 06:26:46.200,81,VC 13/34
502,2019-06-12 06:27:44.000,82,VC 13/34
505,2019-06-12 06:27:44.900,81,VC 13/34
506,2019-06-12 06:27:46.400,82,VC 13/34
507,2019-06-12 06:27:47.000,81,VC 13/34
508,2019-06-12 06:27:47.100,82,VC 13/34
509,2019-06-12 06:27:47.200,81,VC 13/34
510,2019-06-12 06:27:56.400,82,VC 13/34
511,2019-06-12 06:28:10.200,81,VC 13/34
512,2019-06-12 06:28:47.800,82,VC 13/34
513,2019-06-12 06:28:49.000,81,VC 13/34
514,2019-06-12 06:28:49.100,82,VC 13/34
515,2019-06-12 06:28:49.200,81,VC 13/34
516,2019-06-12 06:28:59.700,82,VC 13/34
517,2019-06-12 06:29:00.900,81,VC 13/34
518,2019-06-12 06:30:09.200,82,VC 13/34
521,2019-06-12 06:30:10.300,81,VC 13/34
522,2019-06-12 06:30:24.700,82,VC 13/34
523,2019-06-12 06:30:25.700,81,VC 13/34
524,2019-06-12 06:31:26.800,82,VC 13/34
525,2019-06-12 06:31:28.500,81,VC 13/34
526,2019-06-12 06:31:46.700,82,VC 13/34
529,2019-06-12 06:31:47.600,81,VC 13/34
530,2019-06-12 06:32:13.500,82,VC 13/34
533,2019-06-12 06:32:22.200,81,VC 13/34
534,2019-06-12 06:32:22.600,82,VC 13/34
537,2019-06-12 06:32:49.900,81,VC 13/34
538,2019-06-12 06:32:56.600,82,VC 13/34
539,2019-06-12 06:32:57.700,81,VC 13/34
540,2019-06-12 06:33:20.200,82,VC 13/34
541,2019-06-12 06:33:21.300,81,VC 13/34
542,2019-06-12 06:33:55.900,82,VC 13/34
545,2019-06-12 06:34:25.500,81,VC 13/34
546,2019-06-12 06:34:25.600,82,VC 13/34
551,2019-06-12 06:34:32.500,81,VC 13/34
552,2019-06-12 06:34:41.500,82,VC 13/34
555,2019-06-12 06:34:42.400,81,VC 13/34
556,2019-06-12 06:34:46.000,82,VC 13/34
557,2019-06-12 06:34:47.000,81,VC 13/34
558,2019-06-12 06:35:02.800,82,VC 13/34
561,2019-06-12 06:35:03.900,81,VC 13/34
562,2019-06-12 06:36:08.800,82,VC 13/34
565,2019-06-12 06:36:09.900,81,VC 13/34
566,2019-06-12 06:36:26.500,82,VC 13/34
569,2019-06-12 06:36:27.600,81,VC 13/34
570,2019-06-12 06:36:39.000,82,VC 13/34
573,2019-06-12 06:36:40.000,81,VC 13/34
574,2019-06-12 06:36:40.100,82,VC 13/34
575,2019-06-12 06:36:40.200,81,VC 13/34
576,2019-06-12 06:36:43.800,82,VC 13/34
577,2019-06-12 06:36:44.000,81,VC 13/34
578,2019-06-12 06:36:44.100,82,VC 13/34
579,2019-06-12 06:36:44.200,81,VC 13/34
580,2019-06-12 06:36:44.300,82,VC 13/34
583,2019-06-12 06:36:44.800,81,VC 13/34
584,2019-06-12 06:36:45.200,82,VC 13/34
587,2019-06-12 06:36:46.200,81,VC 13/34
588,2019-06-12 06:37:01.600,82,VC 13/34
593,2019-06-12 06:37:38.900,81,VC 13/34
594,2019-06-12 06:37:48.200,82,VC 13/34
597,2019-06-12 06:37:49.200,81,VC 13/34
598,2019-06-12 06:38:01.700,82,VC 13/34
599,2019-06-12 06:38:02.700,81,VC 13/34
600,2019-06-12 06:38:02.800,82,VC 13/34
601,2019-06-12 06:38:03.900,81,VC 13/34
602,2019-06-12 06:38:15.700,82,VC 13/34
603,2019-06-12 06:38:16.600,81,VC 13/34
604,2019-06-12 06:38:29.900,82,VC 13/34
607,2019-06-12 06:38:30.800,81,VC 13/34
608,2019-06-12 06:38:55.500,82,VC 13/34
609,2019-06-12 06:38:56.600,81,VC 13/34
610,2019-06-12 06:40:58.800,82,VC 13/34
611,2019-06-12 06:40:59.800,81,VC 13/34
612,2019-06-12 06:41:04.500,82,VC 13/34
613,2019-06-12 06:41:05.500,81,VC 13/34
614,2019-06-12 06:41:06.200,82,VC 13/34
617,2019-06-12 06:41:07.200,81,VC 13/34
618,2019-06-12 06:41:11.300,82,VC 13/34
619,2019-06-12 06:41:12.000,81,VC 13/34
620,2019-06-12 06:41:12.100,82,VC 13/34
621,2019-06-12 06:41:12.200,81,VC 13/34
622,2019-06-12 06:41:16.300,82,VC 13/34
625,2019-06-12 06:41:17.200,81,VC 13/34
626,2019-06-12 06:41:17.500,82,VC 13/34
629,2019-06-12 06:41:18.600,81,VC 13/34
630,2019-06-12 06:41:21.200,82,VC 13/34
633,2019-06-12 06:41:22.200,81,VC 13/34
634,2019-06-12 06:41:32.500,82,VC 13/34
637,2019-06-12 06:41:33.500,81,VC 13/34
638,2019-06-12 06:41:36.500,82,VC 13/34
639,2019-06-12 06:41:37.400,81,VC 13/34
640,2019-06-12 06:41:40.500,82,VC 13/34
641,2019-06-12 06:41:41.600,81,VC 13/34
642,2019-06-12 06:41:47.000,82,VC 13/34
645,2019-06-12 06:41:48.200,81,VC 13/34
646,2019-06-12 06:41:55.500,82,VC 13/34
649,2019-06-12 06:42:13.200,81,VC 13/34
650,2019-06-12 06:42:27.800,82,VC 13/34
651,2019-06-12 06:42:28.900,81,VC 13/34
652,2019-06-12 06:42:40.900,82,VC 13/34
653,2019-06-12 06:42:41.900,81,VC 13/34
654,2019-06-12 06:43:18.300,82,VC 13/34
657,2019-06-12 06:43:36.300,81,VC 13/34
658,2019-06-12 06:43:37.400,82,VC 13/34
659,2019-06-12 06:43:39.600,81,VC 13/34
660,2019-06-12 06:43:40.000,82,VC 13/34
661,2019-06-12 06:43:41.500,81,VC 13/34
662,2019-06-12 06:44:08.600,82,VC 13/34
663,2019-06-12 06:44:09.500,81,VC 13/34
664,2019-06-12 06:44:13.200,82,VC 13/34
667,2019-06-12 06:44:14.000,81,VC 13/34
668,2019-06-12 06:44:14.100,82,VC 13/34
669,2019-06-12 06:44:14.200,81,VC 13/34
670,2019-06-12 06:44:39.300,82,VC 13/34
671,2019-06-12 06:45:01.000,81,VC 13/34
672,2019-06-12 06:45:03.400,82,VC 13/34
673,2019-06-12 06:45:05.400,81,VC 13/34
674,2019-06-12 06:45:23.800,82,VC 13/34
675,2019-06-12 06:45:25.000,81,VC 13/34
676,2019-06-12 06:45:46.200,82,VC 13/34
677,2019-06-12 06:45:47.100,81,VC 13/34
678,2019-06-12 06:46:19.600,82,VC 13/34
679,2019-06-12 06:46:21.000,81,VC 13/34
680,2019-06-12 06:47:52.200,82,VC 13/34
683,2019-06-12 06:48:13.500,81,VC 13/34
684,2019-06-12 06:48:19.500,82,VC 13/34
685,2019-06-12 06:48:21.800,81,VC 13/34
686,2019-06-12 06:48:22.300,82,VC 13/34
687,2019-06-12 06:48:24.000,81,VC 13/34
688,2019-06-12 06:48:24.100,82,VC 13/34
689,2019-06-12 06:48:24.200,81,VC 13/34
690,2019-06-12 06:48:24.400,82,VC 13/34
691,2019-06-12 06:48:25.900,81,VC 13/34
692,2019-06-12 06:48:30.200,82,VC 13/34
695,2019-06-12 06:48:31.300,81,VC 13/34
696,2019-06-12 06:48:33.200,82,VC 13/34
699,2019-06-12 06:48:34.200,81,VC 13/34
700,2019-06-12 06:48:35.400,82,VC 13/34
703,2019-06-12 06:48:36.400,81,VC 13/34
704,2019-06-12 06:48:36.500,82,VC 13/34
707,2019-06-12 06:48:37.500,81,VC 13/34
708,2019-06-12 06:49:41.000,82,VC 13/34
709,2019-06-12 06:49:42.200,81,VC 13/34
710,2019-06-12 06:49:51.900,82,VC 13/34
713,2019-06-12 06:49:52.800,81,VC 13/34
714,2019-06-12 06:49:53.500,82,VC 13/34
717,2019-06-12 06:49:54.600,81,VC 13/34
718,2019-06-12 06:50:14.200,82,VC 13/34
721,2019-06-12 06:50:15.000,81,VC 13/34
722,2019-06-12 06:50:19.100,82,VC 13/34
723,2019-06-12 06:50:20.300,81,VC 13/34
724,2019-06-12 06:50:55.400,82,VC 13/34
725,2019-06-12 06:51:10.400,81,VC 13/34
726,2019-06-12 06:51:42.200,82,VC 13/34
729,2019-06-12 06:51:43.200,81,VC 13/34
730,2019-06-12 06:51:53.700,82,VC 13/34
731,2019-06-12 06:51:55.000,81,VC 13/34
732,2019-06-12 06:52:08.400,82,VC 13/34
739,2019-06-12 06:52:47.200,81,VC 13/34
740,2019-06-12 06:52:47.600,82,VC 13/34
