,Timestamp,Event Type,Parameter
440,2019-07-03 10:11:31.100,82,VC 17/36
441,2019-07-03 10:11:33.500,81,VC 17/36
442,2019-07-03 10:11:35.100,82,VC 17/36
445,2019-07-03 10:11:49.600,81,VC 17/36
446,2019-07-03 10:13:42.800,82,VC 17/36
447,2019-07-03 10:13:45.800,81,VC 17/36
448,2019-07-03 10:13:50.000,82,VC 17/36
449,2019-07-03 10:14:07.300,81,VC 17/36
450,2019-07-03 10:16:48.400,82,VC 17/36
451,2019-07-03 10:16:50.300,81,VC 17/36
452,2019-07-03 10:18:38.600,82,VC 17/36
453,2019-07-03 10:18:40.300,81,VC 17/36
454,2019-07-03 10:19:24.600,82,VC 17/36
455,2019-07-03 10:19:30.900,81,VC 17/36
456,2019-07-03 10:20:02.800,82,VC 17/36
457,2019-07-03 10:20:04.100,81,VC 17/36
458,2019-07-03 10:20:04.400,82,VC 17/36
461,2019-07-03 10:20:06.400,81,VC 17/36
462,2019-07-03 10:20:06.500,82,VC 17/36
463,2019-07-03 10:20:06.600,81,VC 17/36
464,2019-07-03 10:21:59.600,82,VC 17/36
465,2019-07-03 10:22:01.600,81,VC 17/36
466,2019-07-03 10:23:57.800,82,VC 17/36
467,2019-07-03 10:23:59.600,81,VC 17/36
468,2019-07-03 10:24:14.800,82,VC 17/36
471,2019-07-03 10:24:17.300,81,VC 17/36
472,2019-07-03 10:24:22.300,82,VC 17/36
473,2019-07-03 10:24:28.700,81,VC 17/36
474,2019-07-03 10:25:08.900,82,VC 17/36
477,2019-07-03 10:25:12.100,81,VC 17/36
478,2019-07-03 10:25:21.300,82,VC 17/36
479,2019-07-03 10:25:26.500,81,VC 17/36
480,2019-07-03 10:25:43.000,82,VC 17/36
481,2019-07-03 10:25:45.000,81,VC 17/36
482,2019-07-03 10:27:50.900,82,VC 17/36
485,2019-07-03 10:27:54.600,81,VC 17/36
486,2019-07-03 10:28:44.000,82,VC 17/36
489,2019-07-03 10:28:46.300,81,VC 17/36
490,2019-07-03 10:28:54.000,82,VC 17/36
491,2019-07-03 10:28:56.600,81,VC 17/36
492,2019-07-03 10:31:11.100,82,VC 17/36
493,2019-07-03 10:31:13.800,81,VC 17/36
494,2019-07-03 10:31:27.400,82,VC 17/36
495,2019-07-03 10:31:29.700,81,VC 17/36
496,2019-07-03 10:33:36.000,82,VC 17/36
497,2019-07-03 10:33:38.800,81,VC 17/36
498,2019-07-03 10:36:12.400,82,VC 17/36
499,2019-07-03 10:36:15.200,81,VC 17/36
500,2019-07-03 10:36:15.500,82,VC 17/36
501,2019-07-03 10:36:21.500,81,VC 17/36
502,2019-07-03 10:38:11.600,82,VC 17/36
503,2019-07-03 10:38:13.600,81,VC 17/36
504,2019-07-03 10:39:03.800,82,VC 17/36
507,2019-07-03 10:39:15.000,81,VC 17/36
508,2019-07-03 10:40:41.800,82,VC 17/36
